EVI.1,EVI.2,EVI.3,EVI.4,EVI.5,EVI.6,EVI.7,EVI.8,EVI.9,EVI.10,EVI.11,EVI.12,EVI.13,EVI.14,EVI.15,EVI.16,EVI.17,EVI.18,EVI.19,EVI.20,EVI.21,EVI.22,EVI.23,mean,max,min,staD,median,sum,longitude,latitude,ano_safra
0.207225,0.2298375,0.234075,0.2291875,0.19975,0.1736875,0.17865,0.1941625,0.2491,0.3229375,0.3633,0.4002,0.389775,0.3411625,0.3266375,0.32425,0.3460125,0.373275,0.3724125,0.3545625,0.3156375,0.2861375,0.2797,0.2909423913,0.4002,0.1736875,0.0731458903,0.3156375,6.691675,-52.457358,-12.337558,2009_2010
0.1468625,0.146425,0.1473875,0.1582,0.1714375,0.1829875,0.2031625,0.2337,0.256675,0.2959125,0.347525,0.386475,0.446775,0.491575,0.4935,0.46055,0.38715,0.3147125,0.2634125,0.249575,0.2520875,0.247925,0.2424125,0.2837576087,0.4935,0.146425,0.1131108183,0.2520875,6.526425,-52.455112,-12.337558,2009_2010
0.185625,0.173675,0.1730875,0.173175,0.1787625,0.1923875,0.1984,0.2166625,0.2585625,0.3008,0.36255,0.432075,0.4739,0.4934125,0.4836375,0.4493,0.4193625,0.3981375,0.37805,0.35435,0.3183,0.2830625,0.2559875,0.311011413,0.4934125,0.1730875,0.1136599239,0.3008,7.1532625,-52.452868,-12.337558,2009_2010
0.19815,0.189375,0.187725,0.19155,0.19875,0.2086625,0.2144625,0.223825,0.2659625,0.3319125,0.4081375,0.478275,0.5022625,0.4707375,0.425375,0.3914375,0.3705125,0.3697875,0.3708625,0.3494375,0.314725,0.2866625,0.2585625,0.3133543478,0.5022625,0.187725,0.1030894188,0.314725,7.20715,-52.450623,-12.337558,2009_2010
0.1942875,0.170825,0.1628,0.16595,0.182525,0.2106875,0.246625,0.2738,0.318025,0.3561,0.3642375,0.39625,0.4155125,0.4277375,0.4740625,0.4833375,0.4539,0.4177375,0.3575125,0.2993625,0.2734625,0.2545625,0.2368375,0.3102668478,0.4833375,0.1628,0.1056558211,0.2993625,7.1361375,-52.448377,-12.337558,2009_2010
0.1805875,0.143325,0.1429375,0.152675,0.165225,0.1871,0.2188375,0.262775,0.3079875,0.3381,0.3527625,0.3779625,0.396875,0.4153125,0.4516125,0.4799625,0.48815,0.44385,0.3873,0.32335,0.26175,0.2431875,0.2252625,0.302038587,0.48815,0.1429375,0.1142039783,0.3079875,6.9468875,-52.446132,-12.337558,2009_2010
0.1882125,0.14595,0.138625,0.1475875,0.1721625,0.206375,0.2394125,0.290275,0.3283125,0.331325,0.318425,0.3064125,0.3061375,0.3276125,0.37295,0.426425,0.4428375,0.4061125,0.3676875,0.321175,0.281175,0.27575,0.2546375,0.2867641304,0.4428375,0.138625,0.0890108816,0.3061375,6.595575,-52.443888,-12.337558,2009_2010
0.2594625,0.25265,0.2654875,0.2744375,0.2716375,0.2616125,0.2618,0.305725,0.3554375,0.367125,0.3536375,0.3324,0.3315875,0.3611625,0.402175,0.4508125,0.456825,0.4266375,0.4167125,0.3850625,0.3538125,0.3449375,0.321875,0.3396961957,0.456825,0.25265,0.0638063936,0.3449375,7.8130125,-52.441643,-12.337558,2009_2010
0.4880375,0.508875,0.5086,0.50825,0.4994,0.464375,0.4580625,0.4822375,0.4971875,0.49075,0.4881125,0.45105,0.4165875,0.42325,0.4260625,0.435825,0.4504375,0.45625,0.4717875,0.4758,0.48935,0.53005,0.5442125,0.4767195652,0.5442125,0.4165875,0.033729998,0.4822375,10.96455,-52.439397,-12.337558,2009_2010
0.5098,0.519975,0.5355,0.5529375,0.56655,0.5830625,0.5723375,0.5689625,0.605275,0.5976125,0.59065,0.6012625,0.5572125,0.524875,0.52465,0.5022875,0.497575,0.5315,0.548075,0.5491,0.5513125,0.561775,0.5845125,0.553773913,0.605275,0.497575,0.0318133626,0.5529375,12.7368,-52.437153,-12.337558,2009_2010
0.514525,0.5251125,0.5459875,0.5629375,0.559475,0.5699625,0.5637875,0.5564375,0.590525,0.5887125,0.5739,0.582925,0.55965,0.52685,0.5215,0.5147125,0.5095375,0.5200125,0.5223,0.5167375,0.5237375,0.5364375,0.5489625,0.5449880435,0.590525,0.5095375,0.0260863853,0.5459875,12.534725,-52.434908,-12.337558,2009_2010
0.4901375,0.51025,0.5303625,0.545525,0.54675,0.55525,0.5635375,0.5748625,0.611175,0.6114625,0.6097125,0.6246375,0.5963,0.5635,0.5394625,0.510525,0.5059125,0.525325,0.5330875,0.516775,0.508875,0.516875,0.529375,0.5486815217,0.6246375,0.4901375,0.0394143605,0.5394625,12.619675,-52.432662,-12.337558,2009_2010
0.4977875,0.5124625,0.5326875,0.5520375,0.5596875,0.57625,0.578025,0.5792375,0.6126375,0.61355,0.62105,0.6439375,0.61855,0.58645,0.56475,0.539925,0.533575,0.54265,0.5416,0.524075,0.5153125,0.5244,0.5371,0.5612059783,0.6439375,0.4977875,0.0400265107,0.5520375,12.9077375,-52.430417,-12.337558,2009_2010
0.4896,0.5051875,0.5248625,0.542725,0.5594625,0.5866125,0.602325,0.6111375,0.6331125,0.6238625,0.6211375,0.6401375,0.6222625,0.593875,0.572175,0.5482875,0.5393875,0.5449875,0.5425375,0.52005,0.5060625,0.5134625,0.527325,0.5639380435,0.6401375,0.4896,0.0466315209,0.5482875,12.970575,-52.428173,-12.337558,2009_2010
0.4941875,0.5016,0.5133,0.529425,0.5477,0.5809625,0.6031625,0.6121875,0.6286,0.6149,0.6121375,0.6334875,0.6223375,0.596275,0.5724375,0.5467125,0.53465,0.5405,0.5384875,0.5137625,0.49415,0.4919875,0.4959875,0.5573451087,0.6334875,0.4919875,0.0495101385,0.5467125,12.8189375,-52.425928,-12.337558,2009_2010
0.4933,0.508925,0.526225,0.5431,0.5571375,0.58095,0.59385,0.6006875,0.61865,0.6104625,0.6165875,0.6146,0.5756625,0.5496,0.5203375,0.516225,0.5312,0.53635,0.5347,0.51925,0.5130125,0.5168375,0.5228,0.5521934783,0.61865,0.4933,0.0401628211,0.53635,12.70045,-52.423682,-12.337558,2009_2010
0.129325,0.1298,0.1346375,0.137275,0.1377,0.1590875,0.19765,0.2271625,0.2826125,0.3158875,0.3074875,0.3319,0.3526375,0.3798,0.4101,0.39885,0.3661375,0.3244625,0.3036875,0.30575,0.3091875,0.3035375,0.283,0.2707684783,0.4101,0.129325,0.0934960373,0.3036875,6.227675,-52.457358,-12.339802,2009_2010
0.1342,0.1338,0.1363375,0.136625,0.1437,0.1570625,0.1834125,0.219325,0.2532,0.3033875,0.32415,0.3399875,0.3815,0.399775,0.4297,0.42475,0.365825,0.314,0.2699,0.2611125,0.2800375,0.2846,0.2723,0.2673342391,0.4297,0.1338,0.0978692612,0.2723,6.1486875,-52.455112,-12.339802,2009_2010
0.15775,0.142875,0.1410125,0.1380125,0.14345,0.1604375,0.1704875,0.19385,0.2198,0.251075,0.309525,0.364075,0.414075,0.4475125,0.4478875,0.4172125,0.3620375,0.312025,0.277025,0.2667875,0.277975,0.282025,0.2718875,0.2682086957,0.4478875,0.1380125,0.1035393306,0.2718875,6.1688,-52.452868,-12.339802,2009_2010
0.177575,0.1630375,0.1563625,0.1496,0.1527125,0.1701375,0.18465,0.2147875,0.2557,0.29,0.3406875,0.3769375,0.3875625,0.3983875,0.4018,0.4012375,0.39065,0.3650375,0.3363625,0.3095375,0.2925875,0.27685,0.2591,0.2804913043,0.4018,0.1496,0.0931983935,0.29,6.4513,-52.450623,-12.339802,2009_2010
0.1859875,0.155075,0.1506375,0.151125,0.1573625,0.1760375,0.2011625,0.236575,0.2760625,0.302525,0.3341625,0.3612625,0.3770375,0.4132125,0.452,0.4703875,0.4517625,0.3961625,0.3257125,0.264975,0.243175,0.23245,0.2111875,0.2837407609,0.4703875,0.1506375,0.1062014441,0.264975,6.5260375,-52.448377,-12.339802,2009_2010
0.1835,0.137875,0.13235,0.139875,0.1543125,0.1983,0.255275,0.3040625,0.3504375,0.361725,0.3561375,0.3420375,0.324225,0.34505,0.38325,0.4542875,0.4953,0.4398125,0.3707625,0.2942125,0.2331,0.2146375,0.1984125,0.2899538043,0.4953,0.13235,0.1075139411,0.3040625,6.6689375,-52.446132,-12.339802,2009_2010
0.196025,0.1519625,0.1459375,0.1503,0.17275,0.2265,0.2822125,0.3379375,0.3762125,0.35925,0.3266,0.2921375,0.2690625,0.2922375,0.341475,0.4226625,0.4662875,0.4273125,0.37715,0.3100875,0.255625,0.24805,0.2399875,0.2899027174,0.4662875,0.1459375,0.0919317941,0.2921375,6.6677625,-52.443888,-12.339802,2009_2010
0.2869,0.2886625,0.30275,0.3253625,0.3157,0.31575,0.356025,0.41615,0.4761375,0.47785,0.4217875,0.3591375,0.3274875,0.3468625,0.3889625,0.450575,0.4799375,0.4632375,0.450625,0.3989625,0.352075,0.3481,0.3499875,0.3782184783,0.4799375,0.2869,0.06428313,0.356025,8.699025,-52.441643,-12.339802,2009_2010
0.5734,0.5846375,0.556275,0.4913,0.4362375,0.407025,0.423225,0.509675,0.58235,0.585475,0.580725,0.5275625,0.46445,0.4492875,0.435475,0.446775,0.46175,0.4593875,0.478625,0.486425,0.5061875,0.5395125,0.547725,0.5014559783,0.585475,0.407025,0.0581023185,0.4913,11.5334875,-52.439397,-12.339802,2009_2010
0.4946875,0.508675,0.529475,0.559425,0.5899375,0.6182375,0.620225,0.62385,0.6536375,0.643375,0.63285,0.6007625,0.5280625,0.4922625,0.4846875,0.491175,0.51075,0.5320375,0.5479375,0.557075,0.568525,0.5847625,0.5850125,0.5633663043,0.6536375,0.4846875,0.0534880996,0.559425,12.957425,-52.437153,-12.339802,2009_2010
0.505925,0.5198375,0.541325,0.5609375,0.575175,0.602675,0.6025625,0.5988,0.6230625,0.6099375,0.5968375,0.6067625,0.57995,0.5439875,0.5356375,0.52655,0.520275,0.529975,0.5311,0.51955,0.5160875,0.52345,0.534425,0.5567315217,0.6230625,0.505925,0.0376949376,0.541325,12.804825,-52.434908,-12.339802,2009_2010
0.48865,0.506975,0.5269375,0.543725,0.5472125,0.5581125,0.5669875,0.5766125,0.6106625,0.6133875,0.6150125,0.6326625,0.6082625,0.5736125,0.5458625,0.5174125,0.5089,0.522275,0.52975,0.5140375,0.5054125,0.5129125,0.5233875,0.5499461957,0.6326625,0.48865,0.0422537292,0.543725,12.6487625,-52.432662,-12.339802,2009_2010
0.4894875,0.50485,0.5255875,0.54505,0.5531875,0.56975,0.5793625,0.5860875,0.61845,0.6217875,0.6239375,0.6427625,0.6177375,0.5835375,0.560025,0.533475,0.527375,0.5372125,0.536725,0.51925,0.5084375,0.5137875,0.5258,0.5575505435,0.6427625,0.4894875,0.044206651,0.54505,12.8236625,-52.430417,-12.339802,2009_2010
0.4899,0.50455,0.524675,0.542425,0.5577625,0.5839625,0.6003125,0.6099125,0.633925,0.6417125,0.6533875,0.6717875,0.65185,0.6068125,0.5688,0.542675,0.533275,0.539375,0.5386875,0.5179625,0.504175,0.509625,0.5208125,0.5673201087,0.6717875,0.4899,0.0555649655,0.542675,13.0483625,-52.428173,-12.339802,2009_2010
0.500025,0.507525,0.5182125,0.53285,0.550575,0.5835375,0.6053125,0.6150375,0.63665,0.64205,0.6526875,0.6718875,0.65285,0.6085625,0.572675,0.548025,0.537475,0.5421875,0.53925,0.516075,0.4990375,0.4984875,0.50235,0.5666663043,0.6718875,0.4984875,0.0574242969,0.548025,13.033325,-52.425928,-12.339802,2009_2010
0.4933,0.5084,0.52555,0.5430625,0.5579125,0.5840875,0.598325,0.6051375,0.628325,0.6384625,0.6571375,0.6588375,0.61785,0.5735625,0.5324125,0.5242125,0.535375,0.5378125,0.533175,0.51935,0.513875,0.518925,0.526725,0.5622527174,0.6588375,0.4933,0.0507011508,0.5378125,12.9318125,-52.423682,-12.339802,2009_2010
0.141425,0.1405375,0.147025,0.1503125,0.148725,0.1567875,0.2137,0.2739125,0.34275,0.4186,0.41895,0.42815,0.4178625,0.3735625,0.3424125,0.3027625,0.2890125,0.29025,0.2966875,0.2980625,0.2838625,0.2672125,0.2502625,0.277948913,0.42815,0.1405375,0.0973126949,0.2890125,6.392825,-52.457358,-12.342047,2009_2010
0.1520625,0.1489,0.1518125,0.152625,0.1549625,0.171625,0.2006375,0.2435375,0.2962875,0.3706875,0.4115125,0.4133625,0.4035,0.352525,0.32105,0.311525,0.3018625,0.300875,0.2963625,0.3016875,0.299775,0.2871625,0.267725,0.2744375,0.4133625,0.1489,0.0877791441,0.2963625,6.3120625,-52.455112,-12.342047,2009_2010
0.13915,0.128825,0.12935,0.13555,0.145275,0.16525,0.196925,0.2425,0.282825,0.3214625,0.33845,0.3407125,0.3656625,0.3993,0.4324125,0.4292125,0.38585,0.3308375,0.282925,0.280725,0.29285,0.2874,0.27185,0.2750130435,0.4324125,0.128825,0.0989228354,0.282925,6.3253,-52.452868,-12.342047,2009_2010
0.1545,0.1287,0.1242625,0.1263125,0.135075,0.160375,0.203275,0.2597875,0.30335,0.3320125,0.329625,0.3119875,0.3283,0.360575,0.41215,0.4280375,0.3885625,0.3332875,0.27145,0.2566375,0.2676375,0.2624875,0.2482125,0.266373913,0.4280375,0.1242625,0.0942696237,0.2676375,6.1266,-52.450623,-12.342047,2009_2010
0.1614,0.131175,0.126625,0.12895,0.1357875,0.1627,0.20195,0.25245,0.2989875,0.320925,0.3293,0.3325375,0.3356125,0.3628125,0.411375,0.4365875,0.4265,0.378825,0.3072625,0.2567625,0.2365875,0.2200875,0.19455,0.2673804348,0.4365875,0.126625,0.1010271818,0.2567625,6.14975,-52.448377,-12.342047,2009_2010
